UT,AU,AF
WOS:000764043900001,"Alvarez, F; Lippi, F; Oskolkov, A","Alvarez, Fernando; Lippi, Francesco; Oskolkov, Aleksei"
WOS:000728439200003,"Heldring, L; Robinson, JA; Vollmer, S","Heldring, Leander; Robinson, James A.; Vollmer, Sebastian"
WOS:000612198000001,"Goldin, J; Lurie, IZ; McCubbin, J","Goldin, Jacob; Lurie, Ithai Z.; McCubbin, Janet"
WOS:000544015700002,"Autor, D; Dorn, D; Katz, LF; Patterson, C; Van Reenen, J","Autor, David; Dorn, David; Katz, Lawrence F.; Patterson, Christina; Van Reenen, John"
WOS:000489162100001,"Young, A","Young, Alwyn"
WOS:000489161300006,"Burchardi, KB; Gulesci, S; Lerva, B; Sulaiman, M","Burchardi, Konrad B.; Gulesci, Selim; Lerva, Benedetta; Sulaiman, Munshi"
WOS:000435871300005,"Hoffman, M; Kahn, LB; Li, D","Hoffman, Mitchell; Kahn, Lisa B.; Li, Danielle"
WOS:000423802600003,"Agarwal, S; Chomsisengphet, S; Mahoney, N; Stroebel, J","Agarwal, Sumit; Chomsisengphet, Souphala; Mahoney, Neale; Stroebel, Johannes"
WOS:000423802600010,"Embrey, M; Fréchette, GR; Yuksel, S","Embrey, Matthew; Frechette, Guillaume R.; Yuksel, Sevgi"
WOS:000423802600009,"Wiswall, M; Zafar, B","Wiswall, Matthew; Zafar, Basit"
WOS:000388576700004,"Kelly, M; Gráda, CO","Kelly, Morgan; Grada, Cormac O."
WOS:000336146600004,"Garthwaite, C; Gross, T; Notowidigdo, MJ","Garthwaite, Craig; Gross, Tal; Notowidigdo, Matthew J."
WOS:000979999900001,"Cortés, P; Pan, J; Pilossoph, L; Reuben, E; Zafar, B","Cortes, Patricia; Pan, Jessica; Pilossoph, Laura; Reuben, Ernesto; Zafar, Basit"
WOS:000946887400001,"Agan, A; Doleac, JL; Harvey, A","Agan, Amanda; Doleac, Jennifer L.; Harvey, Anna"
WOS:000921150500004,"Alan, S; Corekcioglu, G; Sutter, M","Alan, Sule; Corekcioglu, Gozde; Sutter, Matthias"
WOS:000743312400010,"Aquilina, M; Budish, E; O'Neill, P","Aquilina, Matteo; Budish, Eric; O'Neill, Peter"
